,question,answer
517,i'm really glad that you came to see me.,i had to. i was missing you a lot.
518,i had to. i was missing you a lot.,i was missing you too.
519,i was missing you too.,"so, why haven't you visited me?"
520,"so, why haven't you visited me?",i've actually been busy lately.
521,i've actually been busy lately.,what have you been doing?
522,what have you been doing?,i've just been working really hard.
523,i've just been working really hard.,i've also been busy.
524,i've also been busy.,tell me what you've been doing.
525,tell me what you've been doing.,"basically, i've been working too."
526,"basically, i've been working too.","well whatever, i'm glad you came."
527,"well whatever, i'm glad you came.",so am i.
528,i'm really happy that you came to visit me.,i really missed you a lot.
529,i really missed you a lot.,i've been missing you like crazy.
530,i've been missing you like crazy.,i don't understand why you haven't come to visit me.
531,i don't understand why you haven't come to visit me.,"lately, i've been quite busy."
532,"lately, i've been quite busy.",tell me what you've been up to.
533,tell me what you've been up to.,i've really been working a lot lately.
534,i've really been working a lot lately.,i've been pretty busy myself.
535,i've been pretty busy myself.,so what have you been up to?
536,so what have you been up to?,i've just been working a lot.
537,i've just been working a lot.,"whatever the reason may be, i'm glad you visited me."
538,"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation."
539,"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.
540,oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today."
541,"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?"
542,"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.
543,i think so. it sounds like it's going to be a lot of fun.,"it really does, i can't wait."
544,"it really does, i can't wait.",what time does the party start?
545,what time does the party start?,it starts at 8 o'clock.
546,it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?"
547,"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many."
548,"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today."
549,have you heard about jessica's party on saturday?,"i've heard about it, but i'm still waiting for my invitation."
550,"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.
551,really? i got mine from her this morning.,i'm guessing that she's going to give me my invite today or tomorrow.
552,i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
553,"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.
554,i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
555,"i know, it does sound pretty awesome.","well, when does the party start?"
556,"well, when does the party start?",it's supposed to start at about eight.
557,it's supposed to start at about eight.,how many invitations has she given out?
558,how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet."
559,"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
560,has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.
561,i was told about it already. i'm just waiting for my invitation.,is that right? i already got my invitation from her earlier.
562,is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.
563,i believe that she will give me the invitation today.,are you even going to go?
564,are you even going to go?,"yeah, it sounds like it's going to be the best party of the year."
565,"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun."
566,"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
567,when exactly does the party start?,the invitation says it starts at 8:00 p.m.
568,the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
569,has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though."
570,"hey, what's up?",nothing really.
571,nothing really.,i'm throwing a party on friday.
572,i'm throwing a party on friday.,i didn't realize that.
573,i didn't realize that.,you didn't?
574,you didn't?,nobody has told me anything about your party.
575,nobody has told me anything about your party.,did you want to go?
576,did you want to go?,when does it start?
577,when does it start?,at 8:00 p.m.
578,at 8:00 p.m.,i'll be there.
579,i'll be there.,i'd better see you there.
580,i'd better see you there.,of course.
581,what's going on with you?,fine. what's going on with you?
582,fine. what's going on with you?,i'm having a party this friday.
583,i'm having a party this friday.,i had no idea.
584,i had no idea.,is that right?
585,is that right?,i didn't hear anything about it.
586,i didn't hear anything about it.,can you go?
587,can you go?,what time?
588,what time?,it starts at 8 o'clock.
589,it starts at 8 o'clock.,i'll go.
590,i'll go.,i hope that i'll see you there.
591,i hope that i'll see you there.,no doubt.
592,what's going on?,not much.
593,not much.,"this friday, i'm throwing a party."
594,"this friday, i'm throwing a party.",oh really? i didn't know that.
595,oh really? i didn't know that.,are you serious?
596,are you serious?,i haven't heard anything about it.
597,i haven't heard anything about it.,can you make it?
598,can you make it?,what time does it start?
599,what time does it start?,the party starts at 8.
600,the party starts at 8.,"yeah, i think i'll go."
601,"yeah, i think i'll go.",am i going to see you there?
602,what's going on?,"nothing really, you?"
603,"nothing really, you?",i'm throwing a party next saturday.
604,i'm throwing a party next saturday.,is that right?
605,is that right?,"yeah, are you going to come?"
606,"yeah, are you going to come?","i'm sorry, i can't."
607,"i'm sorry, i can't.",why not?
608,why not?,i don't really want to.
609,i don't really want to.,"well, why don't you?"
610,"well, why don't you?",i hate going to parties.
611,i hate going to parties.,"well, that's okay."
612,"well, that's okay.","yeah, sorry."
613,what's up?,"nothing, how about you?"
614,"nothing, how about you?","next saturday, i'm going to have a party."
615,"next saturday, i'm going to have a party.","oh, really?"
616,"oh, really?",you are coming?
617,you are coming?,probably not.
618,probably not.,why is that?
619,why is that?,i don't feel like going.
620,i don't feel like going.,why not?
621,why not?,i really can't stand going to parties.
622,i really can't stand going to parties.,"i understand, i guess."
623,"i understand, i guess.",sorry about that.
624,what's happening?,"not a lot, what about you?"
625,"not a lot, what about you?",i'm having a party next saturday.
626,i'm having a party next saturday.,that's nice.
627,that's nice.,are you going to be there?
628,are you going to be there?,i don't think so.
629,i don't think so.,is there a reason why?
630,is there a reason why?,i just really don't want to go.
631,i just really don't want to go.,how come?
632,how come?,i don't really like parties.
633,i don't really like parties.,"i wish you would go, but that's okay."
634,what's up?,"nothing much, what's going on?"
635,"nothing much, what's going on?",i'm having a party this friday.
636,i'm having a party this friday.,"oh, really? that's nice."
637,"oh, really? that's nice.",i wanted to see if you wanted to come.
638,i wanted to see if you wanted to come.,"this friday? sorry, i already have plans."
639,"this friday? sorry, i already have plans.",doing what?
640,doing what?,i'm going to dinner with my family.
641,i'm going to dinner with my family.,"i really wanted you to come, but i understand."
642,"i really wanted you to come, but i understand.","yeah, maybe next time."
643,"yeah, maybe next time.",i'll hold you to that.
644,i'll hold you to that.,sounds like a plan.
645,"hey, what's good with you?",not a lot. what about you?
646,not a lot. what about you?,i'm throwing a party on friday.
647,i'm throwing a party on friday.,that sounds like fun.
648,that sounds like fun.,do you think you can come?
649,do you think you can come?,i'm sorry. i'm already doing something this friday.
650,i'm sorry. i'm already doing something this friday.,what are you going to be doing?
651,what are you going to be doing?,my family and i are going to dinner.
652,my family and i are going to dinner.,i was hoping you would come.
653,i was hoping you would come.,i'll definitely try to make it the next time.
654,i'll definitely try to make it the next time.,i'd better see you there.
655,i'd better see you there.,all right. i'll see you next time.
656,what's going on?,nothing really. how about you?
657,nothing really. how about you?,"a lot, like the party i'm having on friday."
658,"a lot, like the party i'm having on friday.","well, that's cool."
659,"well, that's cool.",will you be able to make it?
660,will you be able to make it?,i'm busy this friday. i'm sorry.
661,i'm busy this friday. i'm sorry.,what do you have to do?
662,what do you have to do?,i'm having dinner with my family
663,i'm having dinner with my family,maybe you can come next time.
664,maybe you can come next time.,i'll make sure and come to your next party.
665,i'll make sure and come to your next party.,i'll look for you at my next party.
666,it was nice talking to you.,why are you trying to rush me off the phone?
667,why are you trying to rush me off the phone?,i really have to go.
668,i really have to go.,why? i still wanted to talk to you.
669,why? i still wanted to talk to you.,i have things to do.
670,i have things to do.,like what?
671,like what?,don't be nosey.
672,don't be nosey.,i'm not. i just want to know.
673,i'm not. i just want to know.,"well, it's really none of your business."
674,"well, it's really none of your business.",that's harsh.
675,that's harsh.,"i'm sorry, but i have to go."
676,"i'm sorry, but i have to go.",fine.
677,i've enjoyed conversing with you.,is there a reason why you're trying to get off the phone so fast?
678,is there a reason why you're trying to get off the phone so fast?,i've got to go.
679,i've got to go.,i wasn't done talking to you.
680,i wasn't done talking to you.,"i have to do some things, and besides, it's not polite to be nosey."
681,"i have to do some things, and besides, it's not polite to be nosey.",i'm not being nosey. i'm just asking.
682,i'm not being nosey. i'm just asking.,i really don't think it's any of your business.
683,i really don't think it's any of your business.,that's not nice.
684,that's not nice.,"i apologize, but i'm getting off the phone now."
685,"i apologize, but i'm getting off the phone now.",okay.
686,i'll talk to you later.,what's the rush?
687,what's the rush?,i have to get off the phone now.
688,i have to get off the phone now.,i'm not ready to get off the phone with you.
689,i'm not ready to get off the phone with you.,there are other things i need to take care of.
690,there are other things i need to take care of.,what is it that you need to do? 
691,what is it that you need to do? ,please don't be nosey.
692,please don't be nosey.,"i'm not being nosey, it's just a question."
693,"i'm not being nosey, it's just a question.",you don't need to worry about that.
694,you don't need to worry about that.,that was mean to say.
695,that was mean to say.,"i am very sorry, but i must go."
696,"well, it was nice talking to you.",it was nice talking to you too.
697,it was nice talking to you too.,we should really hang out again.
698,we should really hang out again.,that would be fun.
699,that would be fun.,where do you want to go?
700,where do you want to go?,i think we should go out to eat.
701,i think we should go out to eat.,that sounds good.
702,that sounds good.,"all right, so i'll see you then."
703,"all right, so i'll see you then.",i'll call you later.
704,i'll call you later.,"okay, i'll talk to you later then."
705,"okay, i'll talk to you later then.",see you later.
706,see you later.,bye.
707,i enjoyed talking to you.,i enjoyed talking to you too.
708,i enjoyed talking to you too.,we should hang out some time.
709,we should hang out some time.,i think that would be nice.
710,i think that would be nice.,is there anything you would like to do next time?
711,is there anything you would like to do next time?,do you want to go out to eat?
712,do you want to go out to eat?,i'd like that.
713,i'd like that.,so i'll see you next time.
714,so i'll see you next time.,i'm going to call you soon. 
715,i'm going to call you soon. ,i'll talk to you later.
716,i'll talk to you later.,see you soon.
717,see you soon.,goodbye.
718,i had fun talking to you.,it was really nice talking to you also.
719,it was really nice talking to you also.,i think we should really do something sometime.
720,i think we should really do something sometime.,that should be loads of fun.
721,that should be loads of fun.,what do you want to do next time?
722,what do you want to do next time?,would you like to go to dinner or something?
723,would you like to go to dinner or something?,"yeah, let's do that."
724,"yeah, let's do that.","okay, until next time then."
725,"okay, until next time then.",i'll call you so we can set that up.
726,i'll call you so we can set that up.,talk to you then.
727,talk to you then.,"all right, see you."
728,where do you live?,i live in pasadena.
729,i live in pasadena.,where is pasadena?
730,where is pasadena?,it's in california.
731,it's in california.,is it in northern california?
732,is it in northern california?,no. it's in southern california.
733,no. it's in southern california.,is pasadena a big city?
734,is pasadena a big city?,it's pretty big.
735,it's pretty big.,"how big is ""pretty big""?"
736,"how big is ""pretty big""?","it has about 140,000 people."
737,"it has about 140,000 people.",how big is los angeles?
738,how big is los angeles?,it has about 3 million people.
739,do you have a car?,"yes, i do."
740,"yes, i do.",what kind of car do you have?
741,what kind of car do you have?,i have a honda.
742,i have a honda.,is it new?
743,is it new?,it was new in 2003.
744,it was new in 2003.,"so, it's pretty old now."
745,"so, it's pretty old now.","yes, it is. but it still looks good."
746,"yes, it is. but it still looks good.",do you take good care of it?
747,do you take good care of it?,"oh, yes. i wash it once a week."
748,"oh, yes. i wash it once a week.",do you change the oil?
749,do you change the oil?,my mechanic changes the oil twice a year.
750,do you have a girlfriend?,"no, i don't. do you?"
751,"no, i don't. do you?","i don't have a girlfriend, either."
752,"i don't have a girlfriend, either.",why not?
753,why not?,i don't know. maybe i'm not rich enough.
754,i don't know. maybe i'm not rich enough.,girls like guys with money.
755,girls like guys with money.,they sure do.
756,they sure do.,they like guys with new cars.
757,they like guys with new cars.,i don't have money or a new car.
758,i don't have money or a new car.,"me, neither."
759,"me, neither.",but girls like guys who are funny.
760,but girls like guys who are funny.,maybe we should learn some good jokes.
761,where are you going?,i have to walk the dog.
762,i have to walk the dog.,what kind of dog do you have?
763,what kind of dog do you have?,i have a little poodle.
764,i have a little poodle.,poodles bark a lot.
765,poodles bark a lot.,they sure do.
766,they sure do.,they bark at everything.
767,they bark at everything.,they never shut up.
768,they never shut up.,why did you get a poodle?
769,why did you get a poodle?,it's my mom's dog.
770,it's my mom's dog.,so she likes poodles.
771,so she likes poodles.,she says they're good watchdogs.
772,can i borrow $5?,sure. why do you need it?
773,sure. why do you need it?,i want to buy lunch.
774,i want to buy lunch.,where's your money?
775,where's your money?,it's not in my wallet.
776,it's not in my wallet.,your wallet is empty?
777,your wallet is empty?,i don't have even one dollar in it.
778,i don't have even one dollar in it.,being broke is no fun.
779,being broke is no fun.,even if it's only for a short while.
780,even if it's only for a short while.,it's always good to have friends.
781,it's always good to have friends.,friends will lend you money when you're broke.
782,friends will lend you money when you're broke.,as long as you pay them back.
783,let's go to the beach.,that's a great idea.
784,that's a great idea.,we haven't been in a while.
785,we haven't been in a while.,we haven't been in a month.
786,we haven't been in a month.,"the last time we went, you almost drowned."
787,"the last time we went, you almost drowned.","no, i didn't."
788,"no, i didn't.",then why did the lifeguard dive into the water?
789,then why did the lifeguard dive into the water?,i think he wanted to cool off.
790,i think he wanted to cool off.,he swam right up to you.
791,he swam right up to you.,and then he turned right around.
792,and then he turned right around.,maybe you're right.
793,maybe you're right.,maybe we should get going.
794,are you married?,no. i'm divorced.
795,no. i'm divorced.,when did you get divorced?
796,when did you get divorced?,i got divorced two years ago.
797,i got divorced two years ago.,why did you get divorced?
798,why did you get divorced?,my wife left me.
799,my wife left me.,why did she leave you?
800,why did she leave you?,she said she didn't love me anymore.
801,she said she didn't love me anymore.,wow! that's terrible.
802,wow! that's terrible.,"yes, it was."
803,"yes, it was.",why didn't she love you anymore?
804,why didn't she love you anymore?,she fell in love with my best friend.
805,i'm bored.,what's on tv?
806,what's on tv?,nothing.
807,nothing.,there must be something on tv!
808,there must be something on tv!,nothing that's interesting.
809,nothing that's interesting.,what about that new game show?
810,what about that new game show?,which one?
811,which one?,"""deal or no deal"""
812,"""deal or no deal""",tell me you're joking.
813,tell me you're joking.,i love that show.
814,i love that show.,i watched it once. that was enough.
815,i watched it once. that was enough.,it's on right now. let's watch it together.
816,i like living here.,i agree. pasadena is a nice city.
817,i agree. pasadena is a nice city.,it's not too big.
818,it's not too big.,and it's not too small.
819,and it's not too small.,it has great weather all year long.
820,it has great weather all year long.,it has the rose parade.
821,it has the rose parade.,it has beautiful houses.
822,it has beautiful houses.,it has wonderful restaurants.
823,it has wonderful restaurants.,it has great schools.
824,it has great schools.,it's close to the mountains.
825,it's close to the mountains.,the people are friendly.
826,the people are friendly.,i'm not ever going to leave.
827,we need a new mattress.,what's the matter with this one?
828,what's the matter with this one?,it's not comfortable.
829,it's not comfortable.,it seems fine to me.
830,it seems fine to me.,i toss and turn all night.
831,i toss and turn all night.,you should stop drinking coffee.
832,you should stop drinking coffee.,look at these marks on my arms.
833,look at these marks on my arms.,what are they?
834,what are they?,they are bites.
835,they are bites.,did the cat bite you?
836,did the cat bite you?,no. the bedbugs in that mattress bit me.
837,no. the bedbugs in that mattress bit me.,okay. let's get a new mattress.
838,my laptop is so slow.,buy a new one.
839,buy a new one.,i would if i had the money.
840,i would if i had the money.,why is it so slow?
841,why is it so slow?,that's a good question.
842,that's a good question.,did you take it to a computer shop?
843,did you take it to a computer shop?,i would if i had the money.
844,i would if i had the money.,"well, i guess you have to live with it."
845,"well, i guess you have to live with it.",sometimes i want to throw it out the window.
846,sometimes i want to throw it out the window.,you don't want to do that.
847,you don't want to do that.,why not?
848,why not?,you might hit someone in the head.
849,what's for dinner?,i'm not sure.
850,i'm not sure.,how about a pizza?
851,how about a pizza?,you had pizza for lunch.
852,you had pizza for lunch.,but i love pizza.
853,but i love pizza.,everybody loves pizza.
854,everybody loves pizza.,so why can't i have pizza for dinner?
855,so why can't i have pizza for dinner?,because you need variety.
856,because you need variety.,"what's ""variety?"
857,"what's ""variety?",different thingsÂ—not the same thing all the time.
858,different thingsÂ—not the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?"
859,"you mean, like a pepperoni pizza instead of a cheese pizza?","no, i mean a salad instead of a pizza."
860,we need to save money.,why do we need to save money?
861,why do we need to save money?,because we need to buy a house.
862,because we need to buy a house.,but a house is so expensive.
863,but a house is so expensive.,that's why we need to save money.
864,that's why we need to save money.,how much do we need to save?
865,how much do we need to save?,we need to save enough for a down payment.
866,we need to save enough for a down payment.,how much is that?
867,how much is that?,"that's about $30,000."
868,"that's about $30,000.",thirty thousand dollars! that will take forever.
869,thirty thousand dollars! that will take forever.,not if we save every penny.
870,not if we save every penny.,okay. here's seven pennies.
871,the ocean is so big.,you can't see the end of it.
872,you can't see the end of it.,it goes on and on forever.
873,it goes on and on forever.,"and it's deep, too."
874,"and it's deep, too.",i think it's five miles deep.
875,i think it's five miles deep.,are there fish at the bottom?
876,are there fish at the bottom?,there are fish at the top and the bottom.
877,there are fish at the top and the bottom.,are there more fish or more people?
878,are there more fish or more people?,i think there are more fish.
879,i think there are more fish.,i hope so. i love to eat fish.
880,i'm upset with my mom.,why is that?
881,why is that?,i warned her about her new boyfriend. she didn't listen to me.
882,i warned her about her new boyfriend. she didn't listen to me.,what happened?
883,what happened?,"i gave her $1,000 for her birthday. i told her to spend it on herself."
884,"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.
885,that was very nice of you.,i found out that she gave it to her new boyfriend.
886,i found out that she gave it to her new boyfriend.,why did she do that?
887,why did she do that?,he said he would buy her a nice ring.
888,he said he would buy her a nice ring.,what's wrong with that?
889,what's wrong with that?,he went to las vegas. he lost it all gambling.
890,he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.
891,do animals talk to each other?,of course they talk to each other.
892,of course they talk to each other.,what do they talk about?
893,what do they talk about?,they talk about other animals.
894,they talk about other animals.,what else do they talk about?
895,what else do they talk about?,they talk about food and the weather.
896,they talk about food and the weather.,do they talk about us?
897,do they talk about us?,of course they talk about us.
898,of course they talk about us.,what do they say about us?
899,what do they say about us?,they say that we are funny-looking.
900,they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.
901,ha! we're not funny-looking; animals are funny-looking.,we're funny-looking because we wear clothes.
902,i have to clean the house.,"yes, it's very dirty."
903,"yes, it's very dirty.",you can help me.
904,you can help me.,why me?
905,why me?,because you helped make it dirty.
906,because you helped make it dirty.,what do you want me to do?
907,what do you want me to do?,i want you to clean the bathroom.
908,i want you to clean the bathroom.,"oh, that's easy."
909,"oh, that's easy.","clean the sink, the tub, the counter, and the toilet."
910,"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.
911,that's a lot of work.,tell me when you finish.
912,tell me when you finish.,i don't think so. you'll just give me more work.
913,you're watching too much tv.,what do you mean?
914,what do you mean?,i mean you're wasting your life.
915,i mean you're wasting your life.,i'm having fun.
916,i'm having fun.,you're sitting there with your mouth open.
917,you're sitting there with your mouth open.,who cares?
918,who cares?,i care. do something.
919,i care. do something.,okay. i did something.
920,okay. i did something.,what did you do?
921,what did you do?,i turned up the volume.
922,i turned up the volume.,"that's not what i meant by ""do something."""
923,"that's not what i meant by ""do something.""",will you do something? leave me alone.
924,did you write a letter to grandma?,"yes, i did."
925,"yes, i did.",did you tell her about school?
926,did you tell her about school?,i told her that school is fun.
927,i told her that school is fun.,did you put the letter in an envelope?
928,did you put the letter in an envelope?,"yes, and i sealed the envelope."
929,"yes, and i sealed the envelope.",did you put a stamp on the envelope?
930,did you put a stamp on the envelope?,i couldn't find any stamps.
931,i couldn't find any stamps.,they're in the kitchen drawer.
932,they're in the kitchen drawer.,okay. i just put a stamp on the envelope.
933,okay. i just put a stamp on the envelope.,"give me the envelope, and i'll mail it for you."
934,"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?
935,why are you yawning?,i'm sleepy.
936,i'm sleepy.,why don't you go to bed?
937,why don't you go to bed?,i want to watch this tv show.
938,i want to watch this tv show.,maybe you should record it.
939,maybe you should record it.,the tape recorder is broken.
940,the tape recorder is broken.,then you should watch the rerun.
941,then you should watch the rerun.,why? i'm watching the original.
942,why? i'm watching the original.,but you'll be asleep in about one minute.
943,but you'll be asleep in about one minute.,i'm just yawning because the commercials are on.
944,i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.
945,okay. i'll tell you how the show ends.,zzz.
946,it's sunday.,so?
947,so?,you know what that means.
948,you know what that means.,i forgot.
949,i forgot.,sunday means we go to church.
950,sunday means we go to church.,"oh, yeah."
951,"oh, yeah.",put on a coat and tie.
952,put on a coat and tie.,why?
953,why?,to show respect to god and others.
954,to show respect to god and others.,i'm glad sunday is only once a week.
955,i'm glad sunday is only once a week.,i hope god didn't hear that.
956,i hope god didn't hear that.,he'll forgive me.
957,did you feed the cat?,i'll do that in a minute.
958,i'll do that in a minute.,the cat is meowing. he's hungry.
959,the cat is meowing. he's hungry.,okay. i'll feed him right now.
960,okay. i'll feed him right now.,you shouldn't make him wait.
961,you shouldn't make him wait.,i was doing my homework.
962,i was doing my homework.,the cat doesn't care about your homework.
963,the cat doesn't care about your homework.,the cat doesn't care about anything.
964,the cat doesn't care about anything.,that's the way cats are.
965,that's the way cats are.,all they think about is themselves.
966,all they think about is themselves.,maybe we should get rid of him.
967,maybe we should get rid of him.,of course not! he's family.
968,i hate shaving.,me too.
969,me too.,i just cut myself again.
970,i just cut myself again.,did you use a new blade?
971,did you use a new blade?,"it doesn't matter. old blades cut, new blades cut."
972,"it doesn't matter. old blades cut, new blades cut.",maybe you should use an electric shaver.
973,maybe you should use an electric shaver.,"they make a lot of noise, but they don't give a close shave."
974,"they make a lot of noise, but they don't give a close shave.",maybe you should stop shaving.
975,maybe you should stop shaving.,and grow a beard?
976,and grow a beard?,sure. why not?
977,sure. why not?,because food and other stuff sticks in my beard.
978,because food and other stuff sticks in my beard.,hmm. here's an idea. put cream on your face and have the cat lick it off.
979,excuse me.,yes?
980,yes?,are you reading this paper?
981,are you reading this paper?,"oh, no. help yourself."
982,"oh, no. help yourself.",i asked because the paper is sitting next to you.
983,i asked because the paper is sitting next to you.,thank you. that's polite of you to ask.
984,thank you. that's polite of you to ask.,some people would just pick it up.
985,some people would just pick it up.,"yes, i know. some people are rude."
986,"yes, i know. some people are rude.",i always try to be polite.
987,i always try to be polite.,so do i.
988,so do i.,the world needs more polite people like us.
989,the world needs more polite people like us.,i agree 100 percent.
990,"mom, i want a puppy.",let me think about it.
991,let me think about it.,why do you have to think about it?
992,why do you have to think about it?,because a puppy costs money.
993,because a puppy costs money.,"no, it doesn't. puppies are free."
994,"no, it doesn't. puppies are free.","yes, but a puppy needs shots."
995,"yes, but a puppy needs shots.",shots for what?
996,shots for what?,so it won't get sick. just like you get shots.
997,so it won't get sick. just like you get shots.,i hate shots.
998,i hate shots.,and a puppy eats food. food costs money.
999,and a puppy eats food. food costs money.,no problem. i'll give him food off my plate.
1000,no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables."
1001,look at all these kittens!,how many are there?
1002,how many are there?,eight.
1003,eight.,they're all so cute.
1004,they're all so cute.,"yes, but i can't keep them."
1005,"yes, but i can't keep them.",what are you going to do with them?
1006,what are you going to do with them?,i'm going to give them away. do you want one?
1007,i'm going to give them away. do you want one?,"yes, i would love one."
1008,"yes, i would love one.",which one do you want?
1009,which one do you want?,that one. the one that's all black.
1010,that one. the one that's all black.,"yes, i like that one, too."
1011,"yes, i like that one, too.",i'll call him blacky.
1012,my parents go to church every sunday.,they trust in god.
1013,they trust in god.,they hope they will go to heaven.
1014,they hope they will go to heaven.,they probably will.
1015,they probably will.,but no one knows for sure.
1016,but no one knows for sure.,that's for sure.
1017,that's for sure.,no one knows what happens after we die.
1018,no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
1019,"if we are good, we will be happy in heaven with god.",that's what many people believe.
1020,that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
1021,"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.
1022,i don't want to go to hell.,let's go to church with your parents on sunday.
1023,my husband died.,i'm sorry for you.
1024,i'm sorry for you.,thank you.
1025,thank you.,when did he die?
1026,when did he die?,a couple of months ago.
1027,a couple of months ago.,you still miss him.
1028,you still miss him.,"yes, but i talk to him almost every day."
1029,"yes, but i talk to him almost every day.",when you go to church?
1030,when you go to church?,"no, when i call him on his cell phone."
1031,"no, when i call him on his cell phone.",what do you mean?
1032,what do you mean?,i buried him with his cell phone.
